Team Name,Head Coach,League,Division,Mascot
Arizona Cardinals,Bruce Arian,NFL,NFC West,Big Red
Seattle Seahawks,Pete Caroll,NFL,NFC West,Blitz
Los Angeles Rams,Jeff Fisher,NFL,NFC West,Rampage
San Francisco 49ers,Chip Kelly,NFL,NFC West,Sourdough Sam
Dallas Cowboys,Jason Garrett,NFL,NFC East,Rowdy
Washington Redskins,Jay Gruden,NFL,NFC East,Washy
Philadelphia Eagles,Doug Pederson,NFL,NFC East,Swoop
New York Giants,Ben McAdoo,NFL,NFC East,Giant
Green Bay Packers,Mike McCarthy,NFL,NFC North,Cheesehead
Chicago Bears,John Fox,NFL,NFC North,Staley Da Bear
Detroit Lions,Jim Caldwell,NFL,NFC North,Roary
Minnesota Vikings,Mike Zimmer,NFL,NFC North,Viktor
Atlanta Falcons,Dan Quinn,NFL,NFC South,Freddie Falcon
Carolina Panthers,Ron Rivera,NFL,NFC South,Sir Purr
Tampa Bay Buccaneers,Dirk Koetter,NFL,NFC South,Captain Fear
New Orleans Saints,Sean Payton,NFL,NFC South,Sir Saint
Oakland Raiders,Jack Del Rio,NFL,AFC West,Raider Rusher
Denver Broncos,Gary Kubiak,NFL,AFC West,Miles
San Diego Chargers,Mike McCoy,NFL,AFC West,Bolt Man
Kansas City Chiefs,Andy Reid,NFL,AFC West,KC Wolf
New York Jets,Todd Bowles,NFL,AFC East,Jet
New England Patriots,Bill Belichick,NFL,AFC East,Pat the Patriot
Buffalo Bills,Rex Ryan,NFL,AFC East,Billy Buffalo
Miami Dolphins,Adam Gase,NFL,AFC East,T.D.
Cleveland Browns,Hue Jackson,NFL,AFC North,Chomps
Pittsburgh Steelers,Mike Tommlin,NFL,AFC North,Steely McBean
Baltimore Ravens,John Harbaugh,NFL,AFC North,Poe
Cincinnati Bengals,Marvin Lewis,NFL,AFC North,Who Dey
Tennessee Titans,Mike Malarkey,NFL,AFC South,T-Rac
Jacksonville Jaguars,Gus Bradley,NFL,AFC South,Jaxson De Ville
Houston Texans,Bill O’Brien,NFL,AFC South,Toro
Indianapolis Colts,Chuck Pagano,NFL,AFC South,Blue
Boston Celtics,Brad Stevens,NBA,EC Atlantic,Lucky the Leperchaun
Brooklyn Nets,Kenny Atkinson,NBA,EC Atlantic,Net
New York Knicks,Jeff Horncek,NBA,EC Atlantic,Knickerbocker
Philadelphia 76ers,Brett Brown,NBA,EC Atlantic,Franklin
Toronto Raptors,Dwane Casey,NBA,EC Atlantic,The Raptor
Chicago Bulls,Fred Hoiberg,NBA,EC Central,Benny the Bull
Cleveland Cavaliers,Tyrone Lue,NBA,EC Central,Sir CC
Detroit Pistons,Stan Van Gundy,NBA,EC Central,Hooper
Indiana Pacers,Nate McMillan,NBA,EC Central,Boomer
Milwaukee Bucks,Jason Kidd,NBA,EC Central,Bango the Buck
Atlanta Hawks,Mike Budenholzer,NBA,EC Southeast,Harry the Hawks
Charlotte Hornets,Steve Clifford,NBA,EC Southeast,Hugo the Hornet
Miami Heat,Erik Spoelstra,NBA,EC Southeast,Burnie
Orlando Magic,Frank Vogel,NBA,EC Southeast,Stuff the Magic Dragon
Washington Wizards,Scott Brooks,NBA,EC Southeast,G-Wiz
Denver Nuggets,Mike Malone,NBA,WC Northwest,Rocky the Mountain Lion
Minnesota Timberwolves,Tom Thibodeau,NBA,WC Northwest,Crunch the Wolf
Oklahoma City Thunder,Billy Donavon,NBA,WC Northwest,Rumble the Bison
Portland Trailblazers,Terry Stotts,NBA,WC Northwest,Blaze the Trail Cat
Utah Jazz,Quin Snyder,NBA,WC Northwest,Jazz Bear
Golden State Warriors,Steve Kerr,NBA,WC Pacific,Thunder
LA Clippers,Doc Rivers,NBA,WC Pacific,Chuck the Condor
LA Lakers,Luke Walton,NBA,WC Pacific,Lakes
Phoenix Suns,Earl Watson,NBA,WC Pacific,Go the Gorilla
Sacramento Kings,Dave Joerger,NBA,WC Pacific,Slamson the Lion
Dallas Mavericks,Rick Carlisle,NBA,WC Southwest,Mavs Man
Houston Rockets,Mike D’Antoni,NBA,WC Southwest,Clutch the Bear
Memphis Grizzlies,David Fizdale,NBA,WC Southwest,Frizz
New Orleans Pelicans,Alvin Gentry,NBA,WC Southwest,Pierre the Pelican
San Antonio Spurs,Gregg Popovich,NBA,WC Southwest,The Coyote
Toronto Blue Jays,John Gibbons,MLB,AL East,Ace the Blue Jay
Boston Red Sox,John Farrell,MLB,AL East,Wally the Green Monster
Baltimore Orioles,Buck Showalter,MLB,AL East,The Oriole Bird
New York Yankees,Joe Girardi,MLB,AL East,Yankee Doodle
Tampa Bay Rays,Kevin Cash,MLB,AL East,Raymond
Cleveland Indians,Terry Francona,MLB,AL Central,Slider
Detroit Tigers,Brad Ausmus,MLB,AL Central,Paws
Kansas City Royals,Ned Yost,MLB,AL Central,Slugerrr
Chicago White Sox,Robbin Ventura,MLB,AL Central,South Paw
Minnesota Twins,Paul Molitor,MLB,AL Central,TC Bear
Texas Rangers,Jeff Bannister,MLB,AL West,Captain
Seattle Mariners,Scott Servais,MLB,AL West,Mariner Moose
Houston Astros,AJ Hinch,MLB,AL West,Orbit
Oakland Athletics,Bob Melvin,MLB,AL West,Stomper
LA Angels,Mike Scioscia,MLB,AL West,Angel
Washington Nationals,Dusty Baker,MLB,NL East,Screech
Miami Marlins,Don Mattingly,MLB,NL East,Billy the Marlin
